cycle,coherence,epsilon,epsilon_gw,phi_poly
157,0.1,10071.49673229,1.00714967,0.1167953638968331
158,0.1,10072.25075391,1.00722508,0.11686850035909302
159,0.1,10072.85278238,1.00728528,0.11692691022682378
160,0.1,10073.89314695,1.00738931,0.1170278817442687
161,0.1,10074.20175328,1.00742018,0.11705784137864295
162,0.1,10074.5734953,1.00745735,0.11709393521214073
163,0.1,10075.55452115,1.00755545,0.11718921273151084
164,0.1,10075.5271324,1.00755271,0.11718655221588481
165,0.1,10074.28134116,1.00742813,0.11706556840986604
166,0.1,10074.69171826,1.00746917,0.1171054150606543
167,0.1,10074.5940639,1.00745941,0.11709593245324967
168,0.1,10074.24666891,1.00742467,0.117062202118557
169,0.1,10073.49312085,1.00734931,0.11698905259812031
170,0.1,10073.61680265,1.00736168,0.11700105729128296
171,0.1,10072.99283766,1.00729928,0.11694050067598782
172,0.1,10073.28044874,1.00732804,0.11696841180910855
173,0.1,10073.46456226,1.00734646,0.11698628075484474
174,0.1,10072.10193532,1.00721019,0.11685406390718378
175,0.1,10070.73895349,1.0070739,0.11672188547036222
176,0.1,10070.5108374,1.00705108,0.11669977048174629
177,0.1,10071.94771464,1.00719477,0.11683910433089695
178,0.1,10070.94633269,1.00709463,0.11674199186717504
179,0.1,10069.87806834,1.00698781,0.1166384366061981
180,0.1,10068.66996215,1.006867,0.11652137930271844
181,0.1,10070.02971707,1.00700297,0.11665313438398894
182,0.1,10071.3154579,1.00713155,0.1167777844794573
183,0.1,10071.50370686,1.00715037,0.11679604029433244
184,0.1,10072.14528896,1.00721453,0.11685826942610644
185,0.1,10071.72480761,1.00717248,0.11681748375120948
186,0.1,10073.21509377,1.00732151,0.11696206917033414
187,0.1,10072.0151801,1.00720152,0.1168456484402578
188,0.1,10072.40045821,1.00724005,0.11688302360743807
189,0.1,10072.66569154,1.00726657,0.11690875682012458
190,0.1,10073.6788767,1.00736789,0.11700708249376568
191,0.1,10073.67943616,1.00736794,0.11700713679830099
192,0.1,10074.49121255,1.00744912,0.11708594560285546
193,0.1,10075.65151112,1.00756515,0.11719863447619194
194,0.1,10076.33784222,1.00763378,0.11726531620489933
195,0.1,10076.15379984,1.00761538,0.11724743342476462
196,0.1,10076.70193745,1.00767019,0.11730069802936227
197,0.1,10077.77977553,1.00777798,0.11740546999725598
198,0.1,10077.66924958,1.00776692,0.11739472415228236
199,0.1,10077.1816583,1.00771817,0.11734732398748982
200,0.1,10077.77542358,1.00777754,0.11740504687145181
